Cruise,Station,Longitude_E,Latitude_N,Bottle,Depth,NO3_NO2,QF_NO3_NO2,NO3_NO2_stdDev,QF_NO3_NO2_stdDev,NO3_NO2_CF,QF_NO3_NO2_CF,NO3_NO2_C,QF_NO3_NO2_C,NO3_NO2_C_stdDev,QF_NO3_NO2_C_stdDev,PO4,QF_PO4,PO4_stdDev,QF_PO4_stdDev,PO4_CF,QF_PO4_CF,PO4_C,QF_PO4_C,PO4_C_stdDev,QF_PO4_C_stdDev,NO2,QF_NO2,NO2_stdDev,QF_NO2_stdDev,NO2_CF,QF_NO2_CF,NO2_C,QF_NO2_C,NO2_C_stdDev,QF_NO2_C_stdDev,Si_OH4,QF_Si_OH4, Si_OH4_stdDev,QF_Si_OH4_stdDev,Si_OH4_CF,QF_Si_OH4_CF,Si_OH4_C,QF_Si_OH4_C,Si_OH4_C_stdDev,QF_Si_OH4_C_stdDev,NH4,QF_NH4,NH4_stdDev,QF_NH4_stdDev,NH4_CF,QF_NH4_CF,NH4_C,QF_NH4_C,NH4_C_stdDev,QF_NH4_C_stdDev
PS114,012_04,7.0331,79.0116,7,1000,15.08,0,0.014,0,1,0,15.08,0,0.014,0,1.107,0,0.007,0,0.9087,0,1.006,0,0.006,0,0.004,0,0.001,0,0.7291,0,0.003,0,0.001,0,11.13,0,0.014,0,1.0554,0,11.747,0,0.015,0,0.359,1,0.001,1,0.9748,1,0.349,1,0.001,
PS114,012_04,7.0331,79.0116,2,1200,15.285,0,0.021,0,1,0,15.285,0,0.021,0,1.12,0,0,0,0.9087,0,1.018,0,0,0,0.005,0,0.001,0,0.7291,0,0.003,0,0.001,0,12.265,0,0.021,0,1.0554,0,12.944,0,0.022,0,0.348,1,0.001,1,0.9748,1,0.339,1,0.001,
PS114,013_02,8.0075,79.0192,22,10,1.12,0,0,0,1,0,1.12,0,0,0,0.273,0,0.019,0,0.9087,0,0.248,0,0.017,0,0.049,0,0.001,0,0.7291,0,0.036,0,0.001,0,0.9,0,0,0,1.0554,0,0.95,0,0,0,0.439,1,0.004,1,0.9748,1,0.428,1,0.004,
PS114,013_02,8.0075,79.0192,15,15,3.22,0,0,0,1,0,3.22,0,0,0,0.391,0,0.011,0,0.9087,0,0.355,0,0.01,0,0.083,0,0.001,0,0.7291,0,0.06,0,0.001,0,1.705,0,0.007,0,1.0554,0,1.799,0,0.007,0,0.64,1,0.001,1,0.9748,1,0.624,1,0.001,
PS114,013_02,8.0075,79.0192,8,75,12.01,0,0.014,0,1,0,12.01,0,0.014,0,0.869,0,0.001,0,0.9087,0,0.789,0,0.001,0,0.046,0,0.001,0,0.7291,0,0.033,0,0.001,0,4.58,0,0.014,0,1.0554,0,4.834,0,0.015,0,0.355,1,0.002,1,0.9748,1,0.346,1,0.002,
PS114,013_02,8.0075,79.0192,5,100,12.325,0,0.035,0,1,0,12.325,0,0.035,0,0.891,0,0.002,0,0.9087,0,0.809,0,0.002,0,0.033,0,0.001,0,0.7291,0,0.024,0,0.001,0,4.73,0,0.028,0,1.0554,0,4.992,0,0.03,0,0.377,1,0,1,0.9748,1,0.368,1,0,
PS114,013_02,8.0075,79.0192,3,250,12.255,0,0.078,0,1,0,12.255,0,0.078,0,0.907,0,0.02,0,0.9087,0,0.824,0,0.018,0,0.034,0,0.001,0,0.7291,0,0.024,0,0.001,0,4.625,0,0.007,0,1.0554,0,4.881,0,0.007,0,0.367,1,0.001,1,0.9748,1,0.357,1,0.001,
PS114,013_02,8.0075,79.0192,2,500,12.1,0,0.057,0,1,0,12.1,0,0.057,0,0.895,0,0.005,0,0.9087,0,0.813,0,0.004,0,0.073,0,0,0,0.7291,0,0.053,0,0,0,4.71,0,0,0,1.0554,0,4.971,0,0,0,0.384,1,0.001,1,0.9748,1,0.374,1,0.001,
PS114,013_02,8.0075,79.0192,1,700,12.93,0,0.014,0,1,0,12.93,0,0.014,0,0.954,0,0.001,0,0.9087,0,0.866,0,0.001,0,0.013,0,0,0,0.7291,0,0.009,0,0,0,5.465,0,0.007,0,1.0554,0,5.768,0,0.007,0,0.371,1,0.001,1,0.9748,1,0.361,1,0.001,
PS114,014_01,8.3266,79.018,21,12,1.285,0,0.007,0,1,0,1.285,0,0.007,0,0.255,0,0.001,0,0.9087,0,0.231,0,0.001,0,0.06,0,0,0,0.7291,0,0.044,0,0,0,0.525,0,0.007,0,1.0554,0,0.554,0,0.007,0,0.644,1,0.001,1,0.9748,1,0.627,1,0.001,
PS114,014_01,8.3266,79.018,17,50,8.385,0,0.007,0,1,0,8.385,0,0.007,0,0.695,0,0.002,0,0.9087,0,0.631,0,0.002,0,0.137,0,0.001,0,0.7291,0,0.1,0,0.001,0,3.68,0,0.014,0,1.0554,0,3.884,0,0.015,0,1.358,1,0.006,1,0.9748,1,1.324,1,0.006,
PS114,014_01,8.3266,79.018,15,75,12.185,0,0.106,0,1,0,12.185,0,0.106,0,0.856,0,0.003,0,0.9087,0,0.778,0,0.003,0,0.034,0,0.001,0,0.7291,0,0.024,0,0.001,0,4.735,0,0.021,0,1.0554,0,4.997,0,0.022,0,0.464,1,0.011,1,0.9748,1,0.452,1,0.01,
PS114,014_01,8.3266,79.018,13,100,12.22,0,0.113,0,1,0,12.22,0,0.113,0,0.854,0,0,0,0.9087,0,0.776,0,0,0,0.031,0,0,0,0.7291,0,0.023,0,0,0,4.71,0,0.014,0,1.0554,0,4.971,0,0.015,0,0.428,1,0.004,1,0.9748,1,0.417,1,0.003,
PS114,014_01,8.3266,79.018,1,250,12.215,0,0.064,0,1,0,12.215,0,0.064,0,0.86,0,0.004,0,0.9087,0,0.781,0,0.004,0,0.028,0,0.001,0,0.7291,0,0.02,0,0.001,0,4.71,0,0.014,0,1.0554,0,4.971,0,0.015,0,0.415,1,0.001,1,0.9748,1,0.404,1,0.001,
PS114,014_01,8.3266,79.018,9,300,12.195,0,0.078,0,1,0,12.195,0,0.078,0,0.856,0,0.004,0,0.9087,0,0.777,0,0.003,0,0.036,0,0,0,0.7291,0,0.026,0,0,0,4.765,0,0.007,0,1.0554,0,5.029,0,0.007,0,0.378,1,0.001,1,0.9748,1,0.368,1,0.001,
PS114,014_01,8.3266,79.018,7,400,12.28,0,0.057,0,1,0,12.28,0,0.057,0,0.863,0,0.001,0,0.9087,0,0.784,0,0.001,0,0.022,0,0,0,0.7291,0,0.016,0,0,0,4.83,0,0.014,0,1.0554,0,5.098,0,0.015,0,0.372,1,0.001,1,0.9748,1,0.362,1,0.001,
PS114,014_01,8.3266,79.018,5,500,12.23,0,0.057,0,1,0,12.23,0,0.057,0,0.863,0,0.001,0,0.9087,0,0.784,0,0.001,0,0.037,0,0.001,0,0.7291,0,0.027,0,0.001,0,4.81,0,0.014,0,1.0554,0,5.076,0,0.015,0,0.408,1,0.001,1,0.9748,1,0.397,1,0.001,
PS114,014_01,8.3266,79.018,3,750,14.21,0,0.014,0,1,0,14.21,0,0.014,0,1.02,0,0.005,0,0.9087,0,0.926,0,0.004,0,0.015,0,0.001,0,0.7291,0,0.011,0,0.001,0,7.93,0,0.014,0,1.0554,0,8.369,0,0.015,0,0.438,1,0,1,0.9748,1,0.427,1,0,
